name,category,latitude,longitude
Swaminarayana Gurukul,bus_stop,12.8669312,77.4371016
Veeranjaneya Temple,bus_stop,12.8298144,77.412732
Lakshmisagar Gate,bus_stop,12.822675,77.4110126
Railway Station,bus_stop,12.7996321,77.3909676
Wonderla,bus_stop,12.8382537,77.4026801
Tataguni,bus_stop,12.8432537,77.5107392
Swanandashrama Bus stop,bus_stop,12.8440238,77.4942945
Agara,bus_stop,12.8443568,77.4870329
Hosapallya,bus_stop,12.8422314,77.4837859
Devagere Colony,bus_stop,12.8568358,77.4653322
Tagachaguppe,bus_stop,12.8669183,77.4551257
Pinto bore,bus_stop,12.8709751,77.4503707
Seegehalli Cross,bus_stop,12.8256583,77.4493647
Seegehalli,bus_stop,12.81874,77.4525324
Dodda Kuntanahalli,bus_stop,12.8124032,77.4497321
Eradu kamba,bus_stop,12.8490257,77.4513817
"Bgs College,B.G.S.International School",bus_stop,12.8481674,77.4610162
Gerupalya,bus_stop,12.8879964,77.4438567
Subbarayappana Palya Cross,bus_stop,12.8895024,77.4375481
Bheemanakuppe Cross,bus_stop,12.894924,77.4365954
MGM School,bus_stop,12.8972165,77.4329218
Ashrama Ramohalli,bus_stop,12.9064712,77.4285585
Hejjala,railway_station,12.8484112,77.4183276
Gollarapalya,bus_stop,12.8015038,77.425314
Vasudevapura,bus_stop,12.7979499,77.5208615
Hosa Doddi Gate,bus_stop,12.7645682,77.4874168
Gantakanadoddi cross,bus_stop,12.7410603,77.4883767
Vajramuneshwara Gate,bus_stop,12.8642963,77.5327174
Kuppa Reddy Kere,bus_stop,12.8426053,77.5178602
Chinnayyanapalya Silk Farm,bus_stop,12.8491937,77.5220679
Silk Farm,bus_stop,12.8538203,77.5234663
Dayananda Sagar College,bus_stop,12.8251632,77.5137672
Shanimahathma Temple,bus_stop,12.8367727,77.5160345
Saalu Hunase,bus_stop,12.8112779,77.5117083
Udi Palya Udayapalya,bus_stop,12.8203216,77.5139901
APS College Somanahalli,bus_stop,12.7857013,77.502223
Hejjala,bus_stop,12.85596,77.41726
Uddandahalli,bus_stop,12.8863531,77.3837731
Koluru,bus_stop,12.8913046,77.4131622
Kundalpura,bus_stop,12.8951699,77.4153901
Gandhinagara,bus_stop,12.7967519,77.5017843
Nowkal Palya,bus_stop,12.7944055,77.4892798
Nice Road Junction,bus_stop,12.9043928,77.4704723
BMTC Depot-12 Gate,bus_stop,12.9068713,77.4734496
Nice Road Junction,bus_stop,12.9045073,77.4706865
BGS Gleneagles Hospitals,hospital,12.90306,77.4974982
BGS Public School,school,12.9022641,77.4974982
Nallakkanadoddi,bus_stop,12.8228997,77.5286083
Vaddarapalya,bus_stop,12.8350827,77.5270503
Nallakkanadoddi Cross,bus_stop,12.7982935,77.5260766
Nallakkanadoddi,bus_stop,12.8099119,77.5305143
Anchipura Cross,bus_stop,12.7898492,77.4414912
Parasanapalya,bus_stop,12.799457,77.4374536
Utthari,bus_stop,12.81802,77.4928871
Thippuru,bus_stop,12.814553,77.4414172
Channegowdana Doddi,bus_stop,12.8071178,77.4292857
Lingapura,bus_stop,12.8216686,77.444154
Nalku Kamba,bus_stop,12.8558559,77.4527907
Kodipalya,bus_stop,12.7825584,77.4527334
Talaguppe,bus_stop,12.8117171,77.4334706
Bade Katte,bus_stop,12.818027,77.4899621
Chikka Kuntanahalli,bus_stop,12.7936092,77.4383924
Hemmigepura,bus_stop,12.8820567,77.4848368
Doddabele,bus_stop,12.8888387,77.4775546
Muneshwara Layout,bus_stop,12.8743403,77.4715126
Nettigere,bus_stop,12.7590689,77.4940941
Ravugodlu,bus_stop,12.7480936,77.4987126
Nishane,bus_stop,12.7398456,77.5227799
Girigowdana Doddi,bus_stop,12.7459431,77.5233677
Mukkodlu,bus_stop,12.7563615,77.5284294
Girigowdana Doddi Cross,bus_stop,12.7607119,77.5216351
Rayara Doddi,bus_stop,12.7625478,77.5174579
Tattaguppe,bus_stop,12.7722389,77.52876
Taralu,bus_stop,12.7892102,77.5223282
RNS Institute of Technology,college,12.9017846,77.5183793
Glass House Halage Vaderahalli,bus_stop,12.9067912,77.5122943
Patalamma Temple,bus_stop,12.9047275,77.5301838
Nagegowdana Palya,bus_stop,12.8678913,77.5133838
Christ University Faculty Of Engineering,college,12.863041,77.4379186
Avaragere Cross,bus_stop,12.8012215,77.384336
Bidadi,railway_station,12.8006228,77.3901726
Canara Bank,bank,12.9022871,77.5185188
Gundanjaneya Swamy Temple,bus_stop,12.7494463,77.512287
Chowkahalli,bus_stop,12.7380104,77.4113986
Bokipura,bus_stop,12.7361955,77.4736973
Vaderahalli,bus_stop,12.7409237,77.4810729
Hosuru,bus_stop,12.7427395,77.4488698
Allalasandra,bus_stop,12.7432873,77.4629165
Thokathimmanadoddi Cross,bus_stop,12.7439839,77.4789928
Kodipalya,bus_stop,12.7482219,77.4472926
Kariyana Palya,bus_stop,12.8918219,77.5208883
Ganakkal,bus_stop,12.89827,77.512036
Nagegowdana Palya Cross,bus_stop,12.8552914,77.5145498
CK Thandya Cross,bus_stop,12.8761595,77.4013324
Kaggalipura Colony,bus_stop,12.8047274,77.5049727
Gulaka Malai,bus_stop,12.8204781,77.5224844
Basapanpalya,bus_stop,12.8313708,77.5004868
Somanahalli,bus_stop,12.7722038,77.5037232
Gopalnagara,bus_stop,12.8770641,77.4166514
Subbarayappana Palya,bus_stop,12.8787185,77.4202343
Hakki Pikki Colony Cross,bus_stop,12.8389951,77.3995252
Jadenahalli,bus_stop,12.8397391,77.3955207
Thimmappana Palya,bus_stop,12.8415328,77.3926769
Bannikuppe,bus_stop,12.8471828,77.3838508
Basavanapura,bus_stop,12.8501577,77.3831226
Kurubara Karenahalli,bus_stop,12.8545857,77.383872
Ketaganahalli,bus_stop,12.813335,77.3904944
CK Thandya,bus_stop,12.8705623,77.3975649
Hakki Pikki Colony,bus_stop,12.8451436,77.4009297
Devalingayyana Palya,bus_stop,12.8497459,77.4159428
Hejjala Colony,bus_stop,12.8523585,77.4154162
Thoredoddi,bus_stop,12.7574619,77.3982225
Kadumane Hotel,bus_stop,12.8156894,77.4076601
Anchepalya,bus_stop,12.8926535,77.4574515
Rajarajeshwari Medical College,bus_stop,12.8966015,77.460929
Kaniminike,bus_stop,12.8634312,77.4338481
Pepsi Gate,bus_stop,12.8730716,77.4398093
Kaniminike Colony,bus_stop,12.8580199,77.4288005
Swaminarayana Gurukul,bus_stop,12.8668122,77.4368213
Sheshagiri Halli,bus_stop,12.8436969,77.4210532
Lakshmisagar Gate,bus_stop,12.8225183,77.4104631
Sheshagiri Halli,bus_stop,12.8438488,77.421585
Tibetan College,bus_stop,12.8504871,77.4241787
Pepsi Gate,bus_stop,12.8728736,77.4401625
Tibetan College,bus_stop,12.8505948,77.4247269
Rajarajeshwari Medical College,bus_stop,12.8965388,77.4611007
Anche Palya,bus_stop,12.8921999,77.4575065
Kadumane Hotel,bus_stop,12.8156931,77.4074981
Railway Station,bus_stop,12.7997785,77.3907557
Byramangala Cross,bus_stop,12.8035626,77.3981197
Bidadi,bus_stop,12.7968079,77.3845511
Bananduru,bus_stop,12.7772754,77.3977885
Channasandra,bus_stop,12.9028393,77.5214275
Chanasandra Colony,bus_stop,12.9033405,77.5161464
Indo American Hybrid Farm,bus_stop,12.9039806,77.512583
Omkar Hills,bus_stop,12.9047297,77.50464
Byramangala Cross,bus_stop,12.8036044,77.3983334
Bidadi,bus_stop,12.7966117,77.3846242
Karubele,bus_stop,12.8747102,77.4657556
Jyothi Farm,bus_stop,12.8597084,77.5286548
Lakshmipura,bus_stop,12.8333438,77.5137889
Saala Doddi,bus_stop,12.8301684,77.513055
Kaggalipura,bus_stop,12.8001372,77.5082934
Gandhinagara Kaggalipura,bus_stop,12.7900321,77.5044125
KEB Office Somanahalli,bus_stop,12.7823184,77.4994431
Somanahalli gate,bus_stop,12.7804293,77.4967485
Vajramuneshwara Temple,bus_stop,12.8527766,77.5302443
Vasudevapura,bus_stop,12.8180141,77.5206294
Chudahalli,bus_stop,12.7822519,77.4894448
Naganayakanahalli,bus_stop,12.792354,77.4777332
Aladamara,bus_stop,12.7887297,77.4837065
Mallipalya,bus_stop,12.795825,77.4740076
Nellagulli Cross,bus_stop,12.7741183,77.4920344
Sundaram Estate,bus_stop,12.7747802,77.4784485
Karenahalli,bus_stop,12.7824994,77.4688298
Gudipalya,bus_stop,12.7941412,77.4838084
Nettigere Gate,bus_stop,12.7612292,77.4865598
Bolare,bus_stop,12.7542962,77.4847004
Ravogodlu gate,bus_stop,12.7491919,77.4864717
Shanumangala Cross,bus_stop,12.7920171,77.438897
Shanumangala,bus_stop,12.7949408,77.4320021
Eagleton Gate,bus_stop,12.8105131,77.4163524
Narayanapura,bus_stop,12.7924856,77.4608619
Kattalepalya,bus_stop,12.7969777,77.4642613
Jogana Palya,bus_stop,12.7811904,77.4394225
Anchipura Colony,bus_stop,12.7673832,77.4388688
Banjarapalya,bus_stop,12.8305974,77.4856477
Gangasandra,bus_stop,12.8463637,77.4705664
BGS College Gate,bus_stop,12.8466337,77.4624613
Gollahalli,bus_stop,12.8433644,77.4515227
Gonipura,bus_stop,12.8323434,77.4510969
Thittahalli,bus_stop,12.8217557,77.4604137
MRV Bricks Factory,bus_stop,12.8194527,77.4607345
BGS College Cross,bus_stop,12.8474259,77.4688917
Kumbalagodu,bus_stop,12.8794234,77.4462211
Kumbalagodu,bus_stop,12.8793226,77.4457076
Ramohalli Cross,bus_stop,12.8868428,77.4513116
Ramohalli Cross,bus_stop,12.8866203,77.4508184
Basavanagara,bus_stop,12.900973,77.4671249
Basavanagara,bus_stop,12.9010645,77.4676251
Bannigiri,bus_stop,12.7472328,77.4333103
Matada Bailu,bus_stop,12.7486995,77.42858
Byramangala,bus_stop,12.7488172,77.4244934
Jettipalya,bus_stop,12.7504657,77.4730145
Thokathimmanadoddi,bus_stop,12.7482539,77.479879
Apco Factory,bus_stop,12.7621096,77.4702763
Gollahalli,bus_stop,12.75352,77.4521834
Kodi Palya Cross,bus_stop,12.7539386,77.4475539
Bannigiri,bus_stop,12.7562454,77.4363965
Hosa Doddi,bus_stop,12.7654624,77.4837514
Sadanapalya gate,bus_stop,12.768029,77.4885449
Sadanapalya,bus_stop,12.7687806,77.4829138
Veerasandra,bus_stop,12.7567375,77.4806078
Gulaka Malai,bus_stop,12.7977364,77.5241965
Gadipalya,bus_stop,12.7663591,77.5284248
Dinnepalya,bus_stop,12.811453,77.4923823
Thimmegowdana Palya,bus_stop,12.8245059,77.4845607
Ganigara Palya,bus_stop,12.8759616,77.5332439
Chikkegowdana Palya,bus_stop,12.8785727,77.5151455
Gattigere Palya,bus_stop,12.8820003,77.5013924
Sompura,bus_stop,12.8778149,77.4966267
Dasegowdana Palya,bus_stop,12.8805375,77.5055475
Lakshmi Devastana,bus_stop,12.8863796,77.4983439
Sridhara Gudda,bus_stop,12.8991288,77.4876092
Konasandra Cross,bus_stop,12.892572,77.4863349
Madarasa School,bus_stop,12.8808129,77.4594177
St Bentic School,bus_stop,12.8871039,77.4588222
Kambipura,bus_stop,12.8718914,77.4617673
Jandemara,bus_stop,12.8748044,77.4612498
Kengeri RWS Gate,bus_stop,12.9041118,77.4757893
Bhimanakuppe,bus_stop,12.9040883,77.4383518
Vinayaka Nagara,bus_stop,12.9029695,77.4301728
H Gollahalli,bus_stop,12.8760451,77.4801467
Channaveeraiahna Palya,bus_stop,12.8756058,77.4870034
Varahasandra,bus_stop,12.8774351,77.4902322
Doddipalya,bus_stop,12.8578812,77.4726031
JSS College,bus_stop,12.9039299,77.5094821
BEML Layout 5th Stage,bus_stop,12.9066721,77.5215371
Kaniminike,bus_stop,12.8631592,77.43384
Kaniminike Colony,bus_stop,12.8580771,77.4291287
Hejjala Cross,bus_stop,12.8550579,77.4269368
