area_type,availability,location,bhk,total_sqft,bath,balcony,price_per_sqft,price
Super built-up  Area,19-Dec,Electronic City Phase II,2,1056.0,2.0,1.0,3699.810606060606,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4,2600.0,5.0,3.0,4615.384615384615,120.0
Built-up  Area,Ready To Move,Uttarahalli,3,1440.0,2.0,3.0,4305.555555555556,62.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1521.0,3.0,1.0,6245.890861275477,95.0
Super built-up  Area,Ready To Move,Kothanur,2,1200.0,2.0,1.0,4250.0,51.0
Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2.0,1.0,3247.863247863248,38.0
Super built-up  Area,18-May,Old Airport Road,4,2732.0,4.0,2.0,7467.0571010248905,204.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3300.0,4.0,2.0,18181.81818181818,600.0
Super built-up  Area,Ready To Move,Marathahalli,3,1310.0,3.0,1.0,4828.244274809161,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6,1020.0,6.0,2.0,36274.509803921566,370.0
Super built-up  Area,18-Feb,Whitefield,3,1800.0,2.0,2.0,3888.8888888888887,70.0
Plot  Area,Ready To Move,Whitefield,4,2785.0,5.0,3.0,10592.45960502693,295.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1000.0,2.0,1.0,3800.0,38.0
Built-up  Area,Ready To Move,Gottigere,2,1100.0,2.0,2.0,3636.3636363636365,40.0
Plot  Area,Ready To Move,Sarjapur,3,2250.0,3.0,2.0,6577.777777777777,148.0
Super built-up  Area,Ready To Move,Mysore Road,2,1175.0,2.0,2.0,6255.31914893617,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1180.0,3.0,2.0,4067.7966101694915,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1540.0,3.0,3.0,3896.103896103896,60.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,2770.0,4.0,2.0,10469.314079422382,290.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2,1100.0,2.0,2.0,4363.636363636364,48.0
Built-up  Area,Ready To Move,Kengeri,1,600.0,1.0,1.0,2500.0,15.0
Super built-up  Area,19-Dec,Binny Pete,3,1755.0,3.0,1.0,6951.5669515669515,122.0
Plot  Area,Ready To Move,Thanisandra,4,2800.0,5.0,2.0,13571.42857142857,380.0
Super built-up  Area,Ready To Move,Bellandur,3,1767.0,3.0,1.0,5829.088851160159,103.0
Super built-up  Area,18-Nov,Thanisandra,1,510.0,1.0,0.0,4950.980392156863,25.25
Super built-up  Area,18-May,Mangammanapalya,3,1250.0,3.0,2.0,4480.0,56.0
Super built-up  Area,Ready To Move,Electronic City,2,660.0,1.0,1.0,3500.0,23.1
Built-up  Area,20-Dec,Whitefield,3,1610.0,3.0,2.0,5031.055900621118,81.0
Super built-up  Area,17-Oct,Ramagondanahalli,2,1151.0,2.0,2.0,4237.185056472633,48.77
Super built-up  Area,Ready To Move,Electronic City,3,1025.0,2.0,1.0,4585.365853658536,47.0
Super built-up  Area,19-Dec,Yelahanka,4,2475.0,4.0,0.0,7515.151515151515,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,3255.813953488372,35.0
Super built-up  Area,Ready To Move,Hebbal,3,1760.0,2.0,2.0,6988.636363636364,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3.0,3.0,3389.84051978736,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3,1925.0,3.0,2.0,6493.506493506494,125.0
Super built-up  Area,21-Dec,Kanakpura Road,2,700.0,2.0,1.0,5142.857142857143,36.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1070.0,2.0,1.0,4252.336448598131,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3,1724.0,3.0,2.0,7250.580046403712,125.0
Super built-up  Area,Ready To Move,Chikkalasandra,3,1290.0,2.0,2.0,4350.387596899225,56.12
Built-up  Area,Ready To Move,Uttarahalli,2,1143.0,2.0,2.0,3937.0078740157483,45.0
Built-up  Area,Ready To Move,Murugeshpalya,2,1296.0,2.0,2.0,6250.0,81.0
Super built-up  Area,19-Dec,Sarjapur  Road,3,1254.0,3.0,2.0,3030.3030303030305,38.0
Super built-up  Area,Ready To Move,Ganga Nagar,1,600.0,1.0,0.0,6333.333333333333,38.0
Plot  Area,Ready To Move,Yelahanka,1,660.0,1.0,0.0,7272.727272727273,48.0
Super built-up  Area,19-Sep,Kanakpura Road,2,1330.74,2.0,2.0,6897.665960292769,91.79
Plot  Area,Ready To Move,HSR Layout,8,600.0,9.0,2.0,33333.333333333336,200.0
Super built-up  Area,Ready To Move,Doddathoguru,2,970.0,2.0,0.0,3402.061855670103,33.0
Super built-up  Area,20-Sep,Whitefield,2,1459.0,2.0,1.0,6498.971898560658,94.82
Plot  Area,Ready To Move,KR Puram,2,800.0,1.0,1.0,16250.0,130.0
Built-up  Area,Ready To Move,Himagiri Meadows,2,869.0,2.0,1.0,4142.692750287687,36.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2,1270.0,2.0,1.0,3937.0078740157483,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3,1670.0,3.0,1.0,5928.143712574851,99.0
Built-up  Area,Ready To Move,Whitefield,3,2010.0,3.0,2.0,4527.363184079602,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1185.0,2.0,2.0,6329.113924050633,75.0
Super built-up  Area,Ready To Move,Yelahanka,3,1600.0,2.0,3.0,4687.5,75.0
Super built-up  Area,Ready To Move,Begur Road,2,1200.0,2.0,2.0,3666.6666666666665,44.0
Built-up  Area,20-Feb,Devanahalli,4,3210.0,2.0,2.0,5981.308411214954,192.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,1500.0,2.0,2.0,12333.333333333334,185.0
Plot  Area,Ready To Move,Murugeshpalya,6,1407.0,4.0,1.0,10660.980810234541,150.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,840.0,2.0,2.0,5357.142857142857,45.0
Plot  Area,Ready To Move,Tharabanahalli,3,4395.0,3.0,2.0,5460.750853242321,240.0
Super built-up  Area,Ready To Move,Ganga Nagar,2,845.0,2.0,1.0,6508.87573964497,55.0
Plot  Area,Ready To Move,Whitefield,4,5700.0,5.0,3.0,11403.508771929824,650.0
Built-up  Area,Ready To Move,Varthur,2,1160.0,2.0,2.0,3793.103448275862,44.0
Built-up  Area,Ready To Move,Bommanahalli,8,3000.0,8.0,0.0,4666.666666666667,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2,1100.0,2.0,1.0,5636.363636363636,62.0
Super built-up  Area,18-Apr,Gunjur,2,1140.0,2.0,3.0,3771.9298245614036,43.0
Super built-up  Area,Ready To Move,Marathahalli,2,1220.0,2.0,1.0,4672.131147540984,57.0
Plot  Area,Ready To Move,Devarachikkanahalli,8,1350.0,7.0,0.0,6296.2962962962965,85.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,1005.0,2.0,1.0,3649.7512437810947,36.68
Plot  Area,Ready To Move,Double Road,3,500.0,3.0,2.0,20000.0,100.0
Super built-up  Area,20-Aug,Begur Road,2,1358.0,2.0,1.0,5933.726067746687,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3,1569.0,3.0,1.0,6437.221159974506,101.0
Super built-up  Area,18-Apr,Haralur Road,2,1240.0,2.0,1.0,5645.1612903225805,70.0
Super built-up  Area,Ready To Move,Hennur Road,3,2089.0,3.0,2.0,6701.771182383915,140.0
Super built-up  Area,Ready To Move,Kothannur,2,1206.0,2.0,1.0,3999.1708126036483,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1150.0,2.0,3.0,3478.2608695652175,40.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3,2511.0,3.0,3.0,8164.078056551175,205.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,460.0,1.0,0.0,4782.608695652174,22.0
