area_type,availability,location,bhk,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2,1056.0,2.0,1.0,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4,2600.0,5.0,3.0,120.0
Built-up  Area,Ready To Move,Uttarahalli,3,1440.0,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1521.0,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Kothanur,2,1200.0,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2.0,1.0,38.0
Super built-up  Area,18-May,Old Airport Road,4,2732.0,4.0,2.0,204.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3300.0,4.0,2.0,600.0
Super built-up  Area,Ready To Move,Marathahalli,3,1310.0,3.0,1.0,63.25
Super built-up  Area,18-Feb,Whitefield,3,1800.0,2.0,2.0,70.0
Plot  Area,Ready To Move,Whitefield,4,2785.0,5.0,3.0,295.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1000.0,2.0,1.0,38.0
Built-up  Area,Ready To Move,Gottigere,2,1100.0,2.0,2.0,40.0
Plot  Area,Ready To Move,Sarjapur,3,2250.0,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Mysore Road,2,1175.0,2.0,2.0,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1180.0,3.0,2.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1540.0,3.0,3.0,60.0
Built-up  Area,Ready To Move,Kengeri,1,600.0,1.0,1.0,15.0
Super built-up  Area,19-Dec,Binny Pete,3,1755.0,3.0,1.0,122.0
Super built-up  Area,Ready To Move,Bellandur,3,1767.0,3.0,1.0,103.0
Super built-up  Area,18-Nov,Thanisandra,1,510.0,1.0,0.0,25.25
Super built-up  Area,Ready To Move,Electronic City,2,660.0,1.0,1.0,23.1
Built-up  Area,20-Dec,Whitefield,3,1610.0,3.0,2.0,81.0
Super built-up  Area,17-Oct,Ramagondanahalli,2,1151.0,2.0,2.0,48.77
Super built-up  Area,Ready To Move,Electronic City,3,1025.0,2.0,1.0,47.0
Super built-up  Area,19-Dec,Yelahanka,4,2475.0,4.0,0.0,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hebbal,3,1760.0,2.0,2.0,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3.0,3.0,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3,1925.0,3.0,2.0,125.0
Super built-up  Area,21-Dec,Kanakpura Road,2,700.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1070.0,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3,1724.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chikkalasandra,3,1290.0,2.0,2.0,56.12
Built-up  Area,Ready To Move,Uttarahalli,2,1143.0,2.0,2.0,45.0
Built-up  Area,Ready To Move,Murugeshpalya,2,1296.0,2.0,2.0,81.0
Super built-up  Area,19-Dec,Sarjapur  Road,3,1254.0,3.0,2.0,38.0
Plot  Area,Ready To Move,Yelahanka,1,660.0,1.0,0.0,48.0
Super built-up  Area,19-Sep,Kanakpura Road,2,1330.74,2.0,2.0,91.79
Super built-up  Area,Ready To Move,Doddathoguru,2,970.0,2.0,0.0,33.0
Super built-up  Area,20-Sep,Whitefield,2,1459.0,2.0,1.0,94.82
Super built-up  Area,18-Mar,Bhoganhalli,3,1670.0,3.0,1.0,99.0
Built-up  Area,Ready To Move,Whitefield,3,2010.0,3.0,2.0,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1185.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3,1600.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Begur Road,2,1200.0,2.0,2.0,44.0
Built-up  Area,20-Feb,Devanahalli,4,3210.0,2.0,2.0,192.0
Plot  Area,Ready To Move,Whitefield,4,5700.0,5.0,3.0,650.0
Built-up  Area,Ready To Move,Varthur,2,1160.0,2.0,2.0,44.0
Built-up  Area,Ready To Move,Bommanahalli,8,3000.0,8.0,0.0,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2,1100.0,2.0,1.0,62.0
Super built-up  Area,18-Apr,Gunjur,2,1140.0,2.0,3.0,43.0
Super built-up  Area,Ready To Move,Marathahalli,2,1220.0,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,1005.0,2.0,1.0,36.68
Super built-up  Area,20-Aug,Begur Road,2,1358.0,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3,1569.0,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2,1240.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,3,2089.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2,1206.0,2.0,1.0,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1150.0,2.0,3.0,40.0
Built-up  Area,18-Oct,Hennur Road,4,3203.5,2.0,2.0,224.5
Super built-up  Area,19-Mar,Yelahanka,2,1326.0,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3,1325.0,2.0,2.0,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3,1499.0,5.0,2.0,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6,3000.0,7.0,2.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,1665.0,3.0,2.0,88.0
Super built-up  Area,17-Sep,Dasanapura,2,708.0,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,1060.0,2.0,2.0,58.06
Built-up  Area,Ready To Move,Sanjay nagar,2,1000.0,2.0,2.0,70.0
Super built-up  Area,18-Dec,Electronic City,2,1000.0,2.0,1.0,28.88
Super built-up  Area,17-Aug,Thanisandra,2,1296.0,2.0,3.0,80.0
Plot  Area,Ready To Move,Kengeri,4,2894.0,4.0,1.0,245.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1330.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,2502.0,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2,650.0,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3,2400.0,2.0,1.0,150.0
Built-up  Area,Ready To Move,Nagarbhavi,3,1630.0,2.0,1.0,98.0
Built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3.0,2.0,229.0
Super built-up  Area,19-Apr,Devanahalli,2,1260.0,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Whitefield,2,1116.0,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3,1530.0,2.0,1.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,3700.0,4.0,1.0,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3,2497.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3,1540.0,2.0,3.0,64.0
Super built-up  Area,18-Dec,Thanisandra,3,1436.0,3.0,1.0,74.75
Super built-up  Area,18-Jun,Malleshwaram,2,1100.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061.0,3.0,1.0,200.0
Super built-up  Area,18-Mar,Hebbal,4,5611.5,4.0,0.0,477.0
Super built-up  Area,22-Dec,Devanahalli,3,1282.0,2.0,2.0,68.52
Built-up  Area,Ready To Move,Kadugodi,2,1050.0,2.0,1.0,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3,1600.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Hormavu,2,1500.0,2.0,1.0,78.0
Plot  Area,Ready To Move,Sarjapur,3,1600.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Kudlu Gate,3,1535.0,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2,950.0,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2,1360.0,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3,1280.0,3.0,1.0,50.4
Built-up  Area,Ready To Move,Hennur Road,8,5000.0,8.0,2.0,250.0
Super built-up  Area,19-Dec,Yelahanka,5,3050.0,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1563.05,3.0,1.0,105.0
Super built-up  Area,17-Jul,Anandapura,2,1167.0,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Kothanur,3,1828.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,890.0,2.0,1.0,35.0
Super built-up  Area,19-Apr,Mysore Road,3,1710.0,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2,957.0,2.0,1.0,58.0
Super built-up  Area,18-May,Devarachikkanahalli,3,1250.0,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Hulimavu,2,1125.0,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2,1020.0,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3,1735.0,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3,2050.0,3.0,1.0,145.0
Super built-up  Area,18-May,Hosa Road,2,1063.0,2.0,1.0,32.0
Built-up  Area,Ready To Move,Whitefield,4,4200.0,4.0,2.0,420.0
Super built-up  Area,18-Dec,Sarjapur,2,1242.5,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Attibele,1,450.0,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2,1152.0,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3,1350.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3,1550.0,3.0,3.0,65.0
Plot  Area,Ready To Move,Nagavara,1,400.0,1.0,0.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1,705.0,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2,1242.0,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,1700.0,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3,2144.0,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3,1704.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,1.0,52.0
Built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2,1277.5,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2.0,2.0,52.0
Built-up  Area,18-Dec,Kanakpura Road,4,2250.0,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1550.0,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2,1327.0,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kothanur,2,1186.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,HSR Layout,3,1400.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,EPIP Zone,2,1285.0,2.0,2.0,82.0
Built-up  Area,Ready To Move,Whitefield,2,1225.0,2.0,2.0,47.6
Super built-up  Area,Ready To Move,Whitefield,2,1075.0,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kadugodi,3,1260.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3,1282.0,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3,1909.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2,1359.0,2.0,1.0,87.0
Plot  Area,Ready To Move,Padmanabhanagar,4,1736.0,6.0,0.0,190.0
Super built-up  Area,20-May,1st Block Jayanagar,4,2850.0,4.0,1.0,428.0
Super built-up  Area,Ready To Move,Kammasandra,3,1595.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1475.0,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Dasarahalli,2,1295.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,Magadi Road,6,3600.0,6.0,0.0,141.0
Super built-up  Area,Ready To Move,Electronic City,1,589.0,1.0,1.0,27.0
Super built-up  Area,18-Dec,Sarjapur  Road,3,1787.0,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1787.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3,1475.0,2.0,3.0,90.0
Super built-up  Area,19-Mar,Sarjapur  Road,2,984.0,2.0,1.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3,1630.0,2.0,2.0,74.82
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1080.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Hebbal,3,1900.0,3.0,2.0,119.0
Super built-up  Area,19-Aug,Dommasandra,2,805.0,2.0,1.0,22.14
Super built-up  Area,Ready To Move,Budigere,2,1153.0,2.0,2.0,56.4
Built-up  Area,Ready To Move,Electronic City,2,1100.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2,1290.0,2.0,2.0,110.0
Super built-up  Area,21-Jun,Vijayanagar,3,1933.0,3.0,1.0,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,3500.0,5.0,2.0,150.0
Super built-up  Area,18-Aug,Chandapura,1,645.0,1.0,1.0,16.45
Super built-up  Area,18-Sep,Chandapura,1,645.0,1.0,1.0,16.45
Plot  Area,Ready To Move,Electronic City,3,1200.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2,910.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3,1577.0,3.0,1.0,70.0
Super built-up  Area,Ready To Move,OMBR Layout,3,2420.0,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2,800.0,1.0,1.0,20.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1270.0,2.0,2.0,93.0
Plot  Area,Ready To Move,Horamavu Agara,4,1200.0,2.0,0.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2,1025.0,2.0,2.0,36.0
Super built-up  Area,17-Jun,Electronic City,2,1108.0,2.0,1.0,63.0
Plot  Area,Ready To Move,Ambedkar Nagar,4,2900.0,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Vijayanagar,3,1500.0,3.0,2.0,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295.0,2.0,2.0,43.9
Super built-up  Area,Ready To Move,Budigere,2,1162.0,2.0,1.0,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1035.0,2.0,2.0,49.2
Built-up  Area,Ready To Move,Attibele,4,1600.0,4.0,0.0,52.8
Super built-up  Area,18-Oct,Hennur Road,3,1866.0,2.0,2.0,61.58
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1804.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Sarjapur,2,913.0,2.0,1.0,32.0
Super built-up  Area,21-Dec,Talaghattapura,3,1868.0,3.0,2.0,131.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,883.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Kogilu,3,1664.0,2.0,3.0,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,2026.0,3.0,2.0,132.0
Super built-up  Area,Ready To Move,Balagere,2,1210.0,2.0,1.0,80.9
Super built-up  Area,Ready To Move,Kadugodi,3,1762.0,3.0,3.0,91.45
Super built-up  Area,Ready To Move,Jigani,3,1252.0,3.0,3.0,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,861.0,2.0,1.0,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1420.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3,1490.0,3.0,1.0,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,46.0
Super built-up  Area,18-Aug,Old Madras Road,3,1425.0,2.0,2.0,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,1280.0,2.0,2.0,56.0
Super built-up  Area,18-Jul,Chandapura,2,1015.0,2.0,2.0,25.88
Super built-up  Area,21-May,Kanakpura Road,2,1017.0,2.0,1.0,51.25
Super built-up  Area,Ready To Move,Haralur Road,2,1027.0,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1069.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hebbal,2,1349.0,2.0,1.0,98.2
