area_type,availability,location,bhk,total_sqft,bath,balcony,price,latitude,longitude,distance_school_km,distance_hospital_km,distance_college_km,distance_bus_stop_km,distance_railway_station_km,distance_shopping_km,distance_bank_km,distance_park_km
Super built-up  Area,19-Dec,Electronic City Phase II,2,1056.0,2.0,1.0,39.07,12.8473999,77.6724452,0.40035376911605053,0.5613837597166842,0.2831581071444159,0.07134709950426539,0.17319033420839355,0.5275315373939784,0.7746556960710721,0.3115820676750147
Built-up  Area,Ready To Move,Uttarahalli,3,1440.0,2.0,3.0,62.0,12.9055682,77.5455438,0.22746733735745564,0.1797218010389305,0.30548424659670886,0.16944100445149374,2.4544857509356146,0.1655727908954121,0.16221229454459354,0.5454936070028436
Super built-up  Area,Ready To Move,Kothanur,2,1200.0,2.0,1.0,51.0,12.8701259,77.5820178,0.13623203774081574,1.2046900818962247,0.7331466380014178,0.12556529125819263,2.9646698856989215,0.6050855243904807,0.18612212320455201,0.4769488643027855
Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2.0,1.0,38.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,18-May,Old Airport Road,4,2732.0,4.0,2.0,204.0,12.960474,77.6424673,0.2627154099597364,0.28290533880301383,0.5033753381015188,0.02924509261983254,2.0281502032272827,0.45449736818022585,0.08836112542763697,0.13981472114521834
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3300.0,4.0,2.0,600.0,12.9945223,77.5543647,0.1199188542909752,0.09834838975715171,0.17153124133757655,0.17092348289892148,0.5233865071124423,0.335860786680838,0.12830270321971304,0.25638441398699574
Super built-up  Area,Ready To Move,Marathahalli,3,1310.0,3.0,1.0,63.25,12.9552572,77.6984163,1.9763180952706894,2.681284746231662,3.7308055503773776,1.736714038869248,5.449555244178608,2.154539436767148,2.0406405171205395,2.7084301339945736
Super built-up  Area,18-Feb,Whitefield,3,1800.0,2.0,2.0,70.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Plot  Area,Ready To Move,Whitefield,4,2785.0,5.0,3.0,295.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1000.0,2.0,1.0,38.0,12.9119148,77.5798871,0.26936846322579466,0.10089845663762421,0.2517206346650523,0.16380304872013168,0.7744389499785099,0.15124264620672434,0.12409308286108027,0.37314201959663995
Built-up  Area,Ready To Move,Gottigere,2,1100.0,2.0,2.0,40.0,12.8565317,77.5877237,0.20865201601987604,0.23137565644291708,0.19795555094513512,0.1272264508834801,4.515055141140823,0.29469876786531657,1.5463185635315648,0.3019174139560736
Plot  Area,Ready To Move,Sarjapur,3,2250.0,3.0,2.0,148.0,12.9694037,77.5870258,0.4140344293043858,0.17534332167281053,0.1733188309069916,0.044365151798211905,0.6450195640072728,1.0183560977358488,0.1549724279444084,0.10827164743390591
Super built-up  Area,Ready To Move,Mysore Road,2,1175.0,2.0,2.0,73.5,12.9466619,77.5300896,0.5788115128967158,0.6618190101281162,1.1682124931747089,0.033568524770681146,0.009775817562846775,0.8890074312899762,0.5621645029464717,0.4358245136779913
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1540.0,3.0,3.0,60.0,12.932582,77.5162034,0.55141764263489,0.15949758983060472,0.3153902703440196,0.0,0.5196414154288266,0.37262180652094556,0.0627447688314718,0.32093423827490225
Built-up  Area,Ready To Move,Kengeri,1,600.0,1.0,1.0,15.0,12.9176571,77.4837568,0.45039213729003325,0.3716515779442138,0.36458084977373917,0.1561736051713814,0.0,0.7852955849738819,0.19667984711288022,0.2382868704986397
Super built-up  Area,Ready To Move,Bellandur,3,1767.0,3.0,1.0,103.0,12.9320495,77.6842915,0.9053721930652706,1.0441146887786372,2.1314748734903795,0.5342334108734272,6.597646540744297,1.1633679873462555,0.9016793045929402,0.2517869492217202
Super built-up  Area,18-Nov,Thanisandra,1,510.0,1.0,0.0,25.25,13.0522499,77.6316152,0.410363084773661,0.24472908327671847,1.2778236931980078,0.04791163141704419,5.0312996369841585,0.5416996553189029,0.2606092527009326,0.8542118193167441
Super built-up  Area,Ready To Move,Electronic City,2,660.0,1.0,1.0,23.1,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Built-up  Area,20-Dec,Whitefield,3,1610.0,3.0,2.0,81.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,17-Oct,Ramagondanahalli,2,1151.0,2.0,2.0,48.77,12.9558969,77.7405826,6.434550869270817,6.7276265293785515,8.076632355774453,6.30579462940022,8.391221520616591,6.3880442422541845,6.393383167374449,6.5229423214498246
Super built-up  Area,Ready To Move,Electronic City,3,1025.0,2.0,1.0,47.0,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Super built-up  Area,19-Dec,Yelahanka,4,2475.0,4.0,0.0,186.0,13.1006982,77.5963454,0.7400163131677461,0.08308136466615322,0.47623530864970526,0.17259552282793286,0.679668262561021,0.32425978467593447,0.314869840130493,0.7223276534545
Super built-up  Area,Ready To Move,Hebbal,3,1760.0,2.0,2.0,123.0,13.0382184,77.5919,0.6663305616905927,0.4312661909280826,0.17286325144917672,0.3075766141578904,0.778769607325326,0.6186249219028057,0.44400793372543573,0.3618570896158307
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3.0,3.0,57.39,12.932582,77.5162034,0.55141764263489,0.15949758983060472,0.3153902703440196,0.0,0.5196414154288266,0.37262180652094556,0.0627447688314718,0.32093423827490225
Built-up  Area,Ready To Move,Kasturi Nagar,3,1925.0,3.0,2.0,125.0,13.0015277,77.6512362,0.5432022852900668,0.7088322872417193,0.5178496396088069,0.6359952869581893,1.1120454465348677,0.9120277411156652,0.7063871313323682,0.7108115065731331
Super built-up  Area,21-Dec,Kanakpura Road,2,700.0,2.0,1.0,36.0,12.8856913,77.5526564,0.17628447036741576,0.35909163872274674,0.4042700117462905,0.12475113167610605,0.1169952701600468,0.003670001069312825,0.3045554088015798,0.2819368110956199
