location,latitude,longitude,address
1 Immadihalli,12.9663991,77.762046,"Immadihalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India"
1A Block Koramangala,12.9282918,77.6254034,"Koramangala 3rd Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India"
1st Block BEL Layout,13.0703462,77.5555305,"Vidhyaranyapura 1st Block, Vidyaranyapura Road, Chamundeshwari Layout, BEL Layout, Vidyaranyapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India"
1st Block HBR Layout,13.0379805,77.6388488,"1st Main Road, HBR Layout 4th Block, Hennur, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560043, India"
1st Block HRBR Layout,13.0099795,77.6434028,"State Bank of India, 7th Main Road, Chikka Banasawadi, HRBR Layout 1st Block, Kalyanagar, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India"
1st Block Jayanagar,12.9182966,77.5741528,"1st Cross, Jayanagar 8th Block, Pattabhirama Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560070, India"
1st Block Koramangala,12.9248167,77.6342492,"1st Block Koramangala, Sarjapura Road, Venkatpura, Jakkasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India"
1st Phase JP Nagar,12.9114349,77.5992958,"ONZE Technologies (India) Pvt Ltd, Hubstairs Coworks, 45/B, 1st Main Road, JP Nagar 3rd Phase, JP Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
1st Stage Domlur,12.9679718,77.6367953,"Lightspeed India Partners, Indiranagar Double Road, Domlur 2nd Stage, Domlur, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India"
1st Stage Indira Nagar,12.9766856,77.6403196,"1st Cross Road, Indiranagar 2nd Stage, Hoysala Nagara Central, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560038, India"
2nd Block Bel Layout,13.0729675,77.554357,"BEL Layout, Vidyaranyapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India"
2nd Block Hrbr Layout,13.0203163,77.6325425,"India Evangelical Church, 12th Cross Road, Kacharakanahalli, HRBR Layout 2nd Block, Kacharakanahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560084, India"
2nd Block Jayanagar,12.9381478,77.5828269,"Bank of India, 8th Main Road, Kankanpalya, Jayanagar 2nd Block, Ashoka Pillar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560069, India"
2nd Block Koramangala,12.9256161,77.6368877,"State Bank of India, 2nd Main Road, Koramangala 1st Block, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India"
